Type_Ouvrage,Code_Ligne,Tension,Ville_Depart,Ville_Arrivee,Capacite_MW,Reg_Depart_Code,Reg_Depart,Reg_Arrivee_Code,Reg_Arrivee
AERIEN,CURTIL61ZCUR5,225kV,CURTIL,GROSNE,400,27,Bourgogne-Franche-Comté,27,Bourgogne-Franche-Comté
AERIEN,CURTIL61ZCUR5,225kV,GROSNE,HENRI-PAUL,400,27,Bourgogne-Franche-Comté,93,Provence-Alpes-Côte d'Azur
AERIEN,.EICHL71MUHLB,400kV,EICHSTETTEN,MUHLBACH,1500,0,Étranger,44,Grand Est
AERIEN,ARGOEL71CHEVA,400kV,ARGOEUVES,CHEVALET,1500,32,Hauts-de-France,32,Hauts-de-France
AERIEN,ARGOEL72CHEVA,400kV,ARGOEUVES,CHEVALET,1500,32,Hauts-de-France,32,Hauts-de-France
AERIEN,GARCHL61SSELO,225kV,GARCHIZY,ST-ELOI,400,27,Bourgogne-Franche-Comté,84,Auvergne-Rhône-Alpes
AERIEN,CLEONL61G.COU,225kV,CLEON,GRAND-COURONNE,400,28,Normandie,28,Normandie
AERIEN,CLEONL62G.COU,225kV,CLEON,GRAND-COURONNE,400,28,Normandie,28,Normandie
AERIEN,LONG6L62ZRAN6,225kV,ALBERTVILLE,LONGEFAN,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,LONG6L62ZRAN6,225kV,LONGEFAN,RANDENS,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,LONG6L21ZGLAN,225kV,GLANDON,LONGEFAN,400,75,Nouvelle-Aquitaine,84,Auvergne-Rhône-Alpes
AERIEN,LONG6L21ZGLAN,225kV,LONGEFAN,ST-AVRE,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,NEOULL72TRANS,400kV,NEOULES,TRANS,1500,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,ALBERL61CONTA,225kV,ALBERTVILLE,CONTAMINE,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,CHAN5L71VLERB,400kV,CHANCEAUX,VILLERBON,1500,24,Centre-Val de Loire,24,Centre-Val de Loire
AERIEN,PICOCL71VLERB,400kV,PICOCHERIE (LA),VILLERBON,1500,52,Pays de la Loire,24,Centre-Val de Loire
AERIEN,B.MONL61ZCBAU,225kV,BEAUMONT-MONTEUX,CHABRILLAN,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,B.MONL61ZCBAU,225kV,CHABRILLAN,CHAMBAUD,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,BEZAUL61ZPELT,225kV,BEZAUMONT,PELTRE,400,44,Grand Est,44,Grand Est
AERIEN,BEZAUL61ZPELT,225kV,PELTRE,VIGY,400,44,Grand Est,44,Grand Est
AERIEN,ELANCL62SAULE,225kV,ELANCOURT,SAULES,400,11,Île-de-France,27,Bourgogne-Franche-Comté
AERIEN,BRUNNL61MARCK,225kV,BRUNNENWASSER,MARCKOLSHEIM,400,0,Étranger,44,Grand Est
AERIEN,FEUILL61LAVER,225kV,FEUILLANE,LAVERA,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,LAVERL61P.BOU,225kV,LAVERA,PORT-DE-BOUC,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,SSJULL63VIGY,225kV,ST-JULIEN,VIGY,400,27,Bourgogne-Franche-Comté,44,Grand Est
AERIEN,SSJULL63VIGY,225kV,ST-JULIEN,VIGY,400,27,Bourgogne-Franche-Comté,44,Grand Est
AERIEN,CHESNL71RENAR,400kV,CHESNOY (LE),RENARDIERES (LES),1500,24,Centre-Val de Loire,24,Centre-Val de Loire
AERIEN,CORDEL61P.ESC,225kV,CORDEAC,PONT-ESCOFFIER,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,PRATCL61SANSS,225kV,PRATCLAUX,SANSSAC (L EGLISE),400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,CROIXL61WEPPE,225kV,CROIX (LA),WEPPES,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,VERTEL61WEPPE,225kV,VERTEFEUILLE,WEPPES,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,H.BOUL61ZH.B5,225kV,ARGOEUVES,BLOCAUX,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,H.BOUL61ZH.B5,225kV,BLOCAUX,HORNOY-LE-BOURG,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,B.MONL61VALE8,225kV,BEAUMONT-MONTEUX,VALENCE,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,CHABRL61ZCBAU,225kV,BEAUMONT-MONTEUX,CHABRILLAN,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,CHABRL61ZCBAU,225kV,CHABRILLAN,CHAMBAUD,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,CORNIL71GEN.P,400kV,CORNIER,GENISSIAT-POSTE,1500,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,BXTO5L61L.CHA,225kV,BEAUTOR(POSTE),LONG-CHAMP (LE),400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,BXTO5L61ZRUPR,225kV,BEAUTOR(POSTE),RUPREUX,400,32,Hauts-de-France,32,Hauts-de-France
