unit,start_date,value_MW
GRAVELINES-3,2024-01-18T11:00:00+01:00,914
GRAVELINES-3,2024-01-18T12:00:00+01:00,914
GRAVELINES-3,2024-01-18T13:00:00+01:00,914
GRAVELINES-3,2024-01-18T14:00:00+01:00,914
GRAVELINES-3,2024-01-18T15:00:00+01:00,915
GRAVELINES-3,2024-01-18T16:00:00+01:00,915
GRAVELINES-3,2024-01-18T17:00:00+01:00,916
GRAVELINES-3,2024-01-18T18:00:00+01:00,915
GRAVELINES-3,2024-01-18T19:00:00+01:00,916
GRAVELINES-3,2024-01-18T20:00:00+01:00,916
GRAVELINES-3,2024-01-18T21:00:00+01:00,915
GRAVELINES-3,2024-01-18T22:00:00+01:00,915
GRAVELINES-3,2024-01-18T23:00:00+01:00,914
DAMPIERRE-1,2024-01-18T00:00:00+01:00,867
DAMPIERRE-1,2024-01-18T01:00:00+01:00,824
DAMPIERRE-1,2024-01-18T02:00:00+01:00,815
DAMPIERRE-1,2024-01-18T03:00:00+01:00,867
DAMPIERRE-1,2024-01-18T04:00:00+01:00,870
DAMPIERRE-1,2024-01-18T05:00:00+01:00,884
DAMPIERRE-1,2024-01-18T06:00:00+01:00,882
DAMPIERRE-1,2024-01-18T07:00:00+01:00,888
DAMPIERRE-1,2024-01-18T08:00:00+01:00,888
DAMPIERRE-1,2024-01-18T09:00:00+01:00,888
DAMPIERRE-1,2024-01-18T10:00:00+01:00,889
DAMPIERRE-1,2024-01-18T11:00:00+01:00,889
DAMPIERRE-1,2024-01-18T12:00:00+01:00,889
DAMPIERRE-1,2024-01-18T13:00:00+01:00,887
DAMPIERRE-1,2024-01-18T14:00:00+01:00,885
DAMPIERRE-1,2024-01-18T15:00:00+01:00,885
DAMPIERRE-1,2024-01-18T16:00:00+01:00,885
DAMPIERRE-1,2024-01-18T17:00:00+01:00,885
DAMPIERRE-1,2024-01-18T18:00:00+01:00,885
DAMPIERRE-1,2024-01-18T19:00:00+01:00,885
DAMPIERRE-1,2024-01-18T20:00:00+01:00,885
DAMPIERRE-1,2024-01-18T21:00:00+01:00,885
DAMPIERRE-1,2024-01-18T22:00:00+01:00,887
DAMPIERRE-1,2024-01-18T23:00:00+01:00,887
DAMPIERRE-2,2024-01-18T00:00:00+01:00,827
DAMPIERRE-2,2024-01-18T01:00:00+01:00,827
DAMPIERRE-2,2024-01-18T02:00:00+01:00,825
DAMPIERRE-2,2024-01-18T03:00:00+01:00,826
DAMPIERRE-2,2024-01-18T04:00:00+01:00,825
DAMPIERRE-2,2024-01-18T05:00:00+01:00,835
DAMPIERRE-2,2024-01-18T06:00:00+01:00,837
DAMPIERRE-2,2024-01-18T07:00:00+01:00,839
DAMPIERRE-2,2024-01-18T08:00:00+01:00,840
DAMPIERRE-2,2024-01-18T09:00:00+01:00,840
DAMPIERRE-2,2024-01-18T10:00:00+01:00,841
DAMPIERRE-2,2024-01-18T11:00:00+01:00,842
DAMPIERRE-2,2024-01-18T12:00:00+01:00,839
DAMPIERRE-2,2024-01-18T13:00:00+01:00,839
DAMPIERRE-2,2024-01-18T14:00:00+01:00,838
DAMPIERRE-2,2024-01-18T15:00:00+01:00,837
DAMPIERRE-2,2024-01-18T16:00:00+01:00,838
DAMPIERRE-2,2024-01-18T17:00:00+01:00,837
DAMPIERRE-2,2024-01-18T18:00:00+01:00,835
DAMPIERRE-2,2024-01-18T19:00:00+01:00,835
DAMPIERRE-2,2024-01-18T20:00:00+01:00,835
DAMPIERRE-2,2024-01-18T21:00:00+01:00,834
DAMPIERRE-2,2024-01-18T22:00:00+01:00,834
DAMPIERRE-2,2024-01-18T23:00:00+01:00,834
TRICASTIN-1,2024-01-18T00:00:00+01:00,898
TRICASTIN-1,2024-01-18T01:00:00+01:00,897
TRICASTIN-1,2024-01-18T02:00:00+01:00,898
TRICASTIN-1,2024-01-18T03:00:00+01:00,897
TRICASTIN-1,2024-01-18T04:00:00+01:00,812
TRICASTIN-1,2024-01-18T05:00:00+01:00,821
TRICASTIN-1,2024-01-18T06:00:00+01:00,841
TRICASTIN-1,2024-01-18T07:00:00+01:00,828
TRICASTIN-1,2024-01-18T08:00:00+01:00,835
TRICASTIN-1,2024-01-18T09:00:00+01:00,875
TRICASTIN-1,2024-01-18T10:00:00+01:00,867
TRICASTIN-1,2024-01-18T11:00:00+01:00,869
TRICASTIN-1,2024-01-18T12:00:00+01:00,825
TRICASTIN-1,2024-01-18T13:00:00+01:00,869
TRICASTIN-1,2024-01-18T14:00:00+01:00,868
TRICASTIN-1,2024-01-18T15:00:00+01:00,878
TRICASTIN-1,2024-01-18T16:00:00+01:00,894
TRICASTIN-1,2024-01-18T17:00:00+01:00,861
TRICASTIN-1,2024-01-18T18:00:00+01:00,861
TRICASTIN-1,2024-01-18T19:00:00+01:00,866
TRICASTIN-1,2024-01-18T20:00:00+01:00,874
TRICASTIN-1,2024-01-18T21:00:00+01:00,899
TRICASTIN-1,2024-01-18T22:00:00+01:00,899
TRICASTIN-1,2024-01-18T23:00:00+01:00,897
TRICASTIN-2,2024-01-18T00:00:00+01:00,933
TRICASTIN-2,2024-01-18T01:00:00+01:00,933
TRICASTIN-2,2024-01-18T02:00:00+01:00,933
TRICASTIN-2,2024-01-18T03:00:00+01:00,933
TRICASTIN-2,2024-01-18T04:00:00+01:00,933
TRICASTIN-2,2024-01-18T05:00:00+01:00,933
TRICASTIN-2,2024-01-18T06:00:00+01:00,933
TRICASTIN-2,2024-01-18T07:00:00+01:00,933
TRICASTIN-2,2024-01-18T08:00:00+01:00,933
TRICASTIN-2,2024-01-18T09:00:00+01:00,933
TRICASTIN-2,2024-01-18T10:00:00+01:00,933
TRICASTIN-2,2024-01-18T11:00:00+01:00,933
TRICASTIN-2,2024-01-18T12:00:00+01:00,933
TRICASTIN-2,2024-01-18T13:00:00+01:00,933
TRICASTIN-2,2024-01-18T14:00:00+01:00,933
TRICASTIN-2,2024-01-18T15:00:00+01:00,933
TRICASTIN-2,2024-01-18T16:00:00+01:00,933
TRICASTIN-2,2024-01-18T17:00:00+01:00,933
TRICASTIN-2,2024-01-18T18:00:00+01:00,933
TRICASTIN-2,2024-01-18T19:00:00+01:00,933
TRICASTIN-2,2024-01-18T20:00:00+01:00,933
TRICASTIN-2,2024-01-18T21:00:00+01:00,933
TRICASTIN-2,2024-01-18T22:00:00+01:00,933
TRICASTIN-2,2024-01-18T23:00:00+01:00,932
BUGEY-2,2024-02-04T00:00:00+01:00,911
BUGEY-2,2024-02-04T01:00:00+01:00,912
BUGEY-2,2024-02-04T02:00:00+01:00,912
BUGEY-2,2024-02-04T03:00:00+01:00,911
BUGEY-2,2024-02-04T04:00:00+01:00,912
BUGEY-2,2024-02-04T05:00:00+01:00,912
BUGEY-2,2024-02-04T06:00:00+01:00,912
BUGEY-2,2024-02-04T07:00:00+01:00,911
BUGEY-2,2024-02-04T08:00:00+01:00,911
BUGEY-2,2024-02-04T09:00:00+01:00,911
BUGEY-2,2024-02-04T10:00:00+01:00,911
BUGEY-2,2024-02-04T11:00:00+01:00,911
BUGEY-2,2024-02-04T12:00:00+01:00,911
BUGEY-2,2024-02-04T13:00:00+01:00,911
BUGEY-2,2024-02-04T14:00:00+01:00,911
BUGEY-2,2024-02-04T15:00:00+01:00,911
BUGEY-2,2024-02-04T16:00:00+01:00,911
BUGEY-2,2024-02-04T17:00:00+01:00,911
BUGEY-2,2024-02-04T18:00:00+01:00,911
BUGEY-2,2024-02-04T19:00:00+01:00,911
BUGEY-2,2024-02-04T20:00:00+01:00,911
BUGEY-2,2024-02-04T21:00:00+01:00,911
BUGEY-2,2024-02-04T22:00:00+01:00,911
BUGEY-2,2024-02-04T23:00:00+01:00,911
BUGEY-3,2024-02-04T00:00:00+01:00,0
BUGEY-3,2024-02-04T01:00:00+01:00,0
BUGEY-3,2024-02-04T02:00:00+01:00,0
BUGEY-3,2024-02-04T03:00:00+01:00,0
BUGEY-3,2024-02-04T04:00:00+01:00,0
BUGEY-3,2024-02-04T05:00:00+01:00,0
BUGEY-3,2024-02-04T06:00:00+01:00,0
BUGEY-3,2024-02-04T07:00:00+01:00,0
BUGEY-3,2024-02-04T08:00:00+01:00,0
BUGEY-3,2024-02-04T09:00:00+01:00,0
BUGEY-3,2024-02-04T10:00:00+01:00,0
BUGEY-3,2024-02-04T11:00:00+01:00,0
BUGEY-3,2024-02-04T12:00:00+01:00,0
BUGEY-3,2024-02-04T13:00:00+01:00,0
BUGEY-3,2024-02-04T14:00:00+01:00,0
BUGEY-3,2024-02-04T15:00:00+01:00,0
BUGEY-3,2024-02-04T16:00:00+01:00,0
BUGEY-3,2024-02-04T17:00:00+01:00,0
BUGEY-3,2024-02-04T18:00:00+01:00,0
BUGEY-3,2024-02-04T19:00:00+01:00,0
BUGEY-3,2024-02-04T20:00:00+01:00,0
BUGEY-3,2024-02-04T21:00:00+01:00,0
BUGEY-3,2024-02-04T22:00:00+01:00,0
BUGEY-3,2024-02-04T23:00:00+01:00,0
BUGEY-4,2024-02-04T00:00:00+01:00,875
BUGEY-4,2024-02-04T01:00:00+01:00,875
BUGEY-4,2024-02-04T02:00:00+01:00,875
BUGEY-4,2024-02-04T03:00:00+01:00,875
BUGEY-4,2024-02-04T04:00:00+01:00,875
BUGEY-4,2024-02-04T05:00:00+01:00,875
BUGEY-4,2024-02-04T06:00:00+01:00,875
BUGEY-4,2024-02-04T07:00:00+01:00,875
BUGEY-4,2024-02-04T08:00:00+01:00,876
BUGEY-4,2024-02-04T09:00:00+01:00,877
BUGEY-4,2024-02-04T10:00:00+01:00,876
BUGEY-4,2024-02-04T11:00:00+01:00,875
BUGEY-4,2024-02-04T12:00:00+01:00,875
BUGEY-4,2024-02-04T13:00:00+01:00,874
BUGEY-4,2024-02-04T14:00:00+01:00,874
BUGEY-4,2024-02-04T15:00:00+01:00,874
BUGEY-4,2024-02-04T16:00:00+01:00,874
