datetime,date_only,heures,consommation
2024-03-28 00:00:00,2024-03-28,00:00,56662.0
2024-03-28 00:30:00,2024-03-28,00:30,55935.0
2024-03-28 01:00:00,2024-03-28,01:00,53358.0
2024-03-28 01:30:00,2024-03-28,01:30,52705.0
2024-03-28 02:00:00,2024-03-28,02:00,52358.0
2024-03-28 02:30:00,2024-03-28,02:30,52230.0
2024-03-28 03:00:00,2024-03-28,03:00,50812.0
2024-03-28 03:30:00,2024-03-28,03:30,49960.0
2024-03-28 04:00:00,2024-03-28,04:00,49049.0
2024-03-28 04:30:00,2024-03-28,04:30,48884.0
2024-03-28 05:00:00,2024-03-28,05:00,48948.0
2024-03-28 05:30:00,2024-03-28,05:30,50721.0
2024-03-28 06:00:00,2024-03-28,06:00,52141.0
2024-03-28 06:30:00,2024-03-28,06:30,54834.0
2024-03-28 07:00:00,2024-03-28,07:00,56698.0
2024-03-28 07:30:00,2024-03-28,07:30,59380.0
2024-03-28 08:00:00,2024-03-28,08:00,60878.0
2024-03-28 08:30:00,2024-03-28,08:30,61490.0
2024-03-28 09:00:00,2024-03-28,09:00,61649.0
2024-03-28 09:30:00,2024-03-28,09:30,61516.0
2024-03-28 10:00:00,2024-03-28,10:00,61153.0
2024-03-28 10:30:00,2024-03-28,10:30,60622.0
2024-03-28 11:00:00,2024-03-28,11:00,60227.0
2024-03-28 11:30:00,2024-03-28,11:30,60504.0
2024-03-28 12:00:00,2024-03-28,12:00,60540.0
2024-03-28 12:30:00,2024-03-28,12:30,60852.0
2024-03-28 13:00:00,2024-03-28,13:00,60999.0
2024-03-28 13:30:00,2024-03-28,13:30,59658.0
2024-03-28 14:00:00,2024-03-28,14:00,58536.0
2024-03-28 14:30:00,2024-03-28,14:30,57534.0
2024-03-28 15:00:00,2024-03-28,15:00,56232.0
2024-03-28 15:30:00,2024-03-28,15:30,55493.0
2024-03-28 16:00:00,2024-03-28,16:00,54464.0
2024-03-28 16:30:00,2024-03-28,16:30,53802.0
2024-03-28 17:00:00,2024-03-28,17:00,53367.0
2024-03-28 17:30:00,2024-03-28,17:30,53621.0
2024-03-28 18:00:00,2024-03-28,18:00,54344.0
2024-03-28 18:30:00,2024-03-28,18:30,56269.0
2024-03-28 19:00:00,2024-03-28,19:00,59057.0
2024-03-28 19:30:00,2024-03-28,19:30,61142.0
2024-03-28 20:00:00,2024-03-28,20:00,61053.0
2024-03-28 20:30:00,2024-03-28,20:30,59590.0
2024-03-28 21:00:00,2024-03-28,21:00,57922.0
2024-03-28 21:30:00,2024-03-28,21:30,56486.0
2024-03-28 22:00:00,2024-03-28,22:00,55171.0
2024-03-28 22:30:00,2024-03-28,22:30,55092.0
2024-03-28 23:00:00,2024-03-28,23:00,56158.0
2024-03-28 23:30:00,2024-03-28,23:30,55364.0
2024-04-18 00:00:00,2024-04-18,00:00,52148.0
2024-04-18 00:30:00,2024-04-18,00:30,51074.0
2024-04-18 01:00:00,2024-04-18,01:00,48534.0
2024-04-18 01:30:00,2024-04-18,01:30,47933.0
2024-04-18 02:00:00,2024-04-18,02:00,47459.0
2024-04-18 02:30:00,2024-04-18,02:30,47163.0
2024-04-18 03:00:00,2024-04-18,03:00,45981.0
2024-04-18 03:30:00,2024-04-18,03:30,45099.0
2024-04-18 04:00:00,2024-04-18,04:00,44374.0
2024-04-18 04:30:00,2024-04-18,04:30,44056.0
2024-04-18 05:00:00,2024-04-18,05:00,44125.0
2024-04-18 05:30:00,2024-04-18,05:30,45559.0
2024-04-18 06:00:00,2024-04-18,06:00,46930.0
2024-04-18 06:30:00,2024-04-18,06:30,49712.0
2024-04-18 07:00:00,2024-04-18,07:00,51733.0
2024-04-18 07:30:00,2024-04-18,07:30,54068.0
2024-04-18 08:00:00,2024-04-18,08:00,55650.0
2024-04-18 08:30:00,2024-04-18,08:30,56859.0
2024-04-18 09:00:00,2024-04-18,09:00,57298.0
2024-04-18 09:30:00,2024-04-18,09:30,57484.0
2024-04-18 10:00:00,2024-04-18,10:00,57559.0
2024-04-18 10:30:00,2024-04-18,10:30,57433.0
2024-04-18 11:00:00,2024-04-18,11:00,57419.0
2024-04-18 11:30:00,2024-04-18,11:30,57655.0
2024-04-18 12:00:00,2024-04-18,12:00,57871.0
2024-04-18 12:30:00,2024-04-18,12:30,57899.0
2024-04-18 13:00:00,2024-04-18,13:00,58169.0
2024-04-18 13:30:00,2024-04-18,13:30,57062.0
2024-04-18 14:00:00,2024-04-18,14:00,55930.0
2024-04-18 14:30:00,2024-04-18,14:30,55175.0
2024-04-18 15:00:00,2024-04-18,15:00,54176.0
2024-04-18 15:30:00,2024-04-18,15:30,53105.0
2024-04-18 16:00:00,2024-04-18,16:00,52070.0
2024-04-18 16:30:00,2024-04-18,16:30,51109.0
2024-04-18 17:00:00,2024-04-18,17:00,50386.0
2024-04-18 17:30:00,2024-04-18,17:30,49843.0
2024-04-18 18:00:00,2024-04-18,18:00,50045.0
2024-04-18 18:30:00,2024-04-18,18:30,50868.0
2024-04-18 19:00:00,2024-04-18,19:00,52249.0
2024-04-18 19:30:00,2024-04-18,19:30,53025.0
2024-04-18 20:00:00,2024-04-18,20:00,52955.0
2024-04-18 20:30:00,2024-04-18,20:30,52613.0
2024-04-18 21:00:00,2024-04-18,21:00,52366.0
2024-04-18 21:30:00,2024-04-18,21:30,52763.0
2024-04-18 22:00:00,2024-04-18,22:00,51925.0
2024-04-18 22:30:00,2024-04-18,22:30,52349.0
2024-04-18 23:00:00,2024-04-18,23:00,53608.0
2024-04-18 23:30:00,2024-04-18,23:30,53067.0
2024-05-23 00:00:00,2024-05-23,00:00,45167.0
2024-05-23 00:30:00,2024-05-23,00:30,43814.0
2024-05-23 01:00:00,2024-05-23,01:00,41376.0
2024-05-23 01:30:00,2024-05-23,01:30,40643.0
2024-05-23 02:00:00,2024-05-23,02:00,40009.0
2024-05-23 02:30:00,2024-05-23,02:30,39636.0
2024-05-23 03:00:00,2024-05-23,03:00,38250.0
2024-05-23 03:30:00,2024-05-23,03:30,37381.0
2024-05-23 04:00:00,2024-05-23,04:00,36496.0
2024-05-23 04:30:00,2024-05-23,04:30,36196.0
2024-05-23 05:00:00,2024-05-23,05:00,36083.0
2024-05-23 05:30:00,2024-05-23,05:30,37108.0
2024-05-23 06:00:00,2024-05-23,06:00,38018.0
2024-05-23 06:30:00,2024-05-23,06:30,40035.0
2024-05-23 07:00:00,2024-05-23,07:00,42056.0
2024-05-23 07:30:00,2024-05-23,07:30,44805.0
2024-05-23 08:00:00,2024-05-23,08:00,46379.0
2024-05-23 08:30:00,2024-05-23,08:30,47746.0
2024-05-23 09:00:00,2024-05-23,09:00,48402.0
2024-05-23 09:30:00,2024-05-23,09:30,48964.0
2024-05-23 10:00:00,2024-05-23,10:00,49249.0
2024-05-23 10:30:00,2024-05-23,10:30,49369.0
2024-05-23 11:00:00,2024-05-23,11:00,49524.0
2024-05-23 11:30:00,2024-05-23,11:30,49931.0
2024-05-23 12:00:00,2024-05-23,12:00,50374.0
2024-05-23 12:30:00,2024-05-23,12:30,50815.0
2024-05-23 13:00:00,2024-05-23,13:00,51459.0
2024-05-23 13:30:00,2024-05-23,13:30,50617.0
2024-05-23 14:00:00,2024-05-23,14:00,49712.0
2024-05-23 14:30:00,2024-05-23,14:30,49254.0
2024-05-23 15:00:00,2024-05-23,15:00,48478.0
2024-05-23 15:30:00,2024-05-23,15:30,47770.0
2024-05-23 16:00:00,2024-05-23,16:00,46889.0
2024-05-23 16:30:00,2024-05-23,16:30,46150.0
2024-05-23 17:00:00,2024-05-23,17:00,45531.0
2024-05-23 17:30:00,2024-05-23,17:30,45291.0
2024-05-23 18:00:00,2024-05-23,18:00,45472.0
2024-05-23 18:30:00,2024-05-23,18:30,46259.0
2024-05-23 19:00:00,2024-05-23,19:00,47591.0
2024-05-23 19:30:00,2024-05-23,19:30,48058.0
2024-05-23 20:00:00,2024-05-23,20:00,47603.0
2024-05-23 20:30:00,2024-05-23,20:30,46412.0
2024-05-23 21:00:00,2024-05-23,21:00,45049.0
2024-05-23 21:30:00,2024-05-23,21:30,44595.0
2024-05-23 22:00:00,2024-05-23,22:00,44392.0
