Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Source donnée;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
AERIEN;BUIREL61P.SAM;LIAISON 225kV N0 1 BUIRE-PONT-SUR-SAMBRE;EN EXPLOITATION;225kV;RTE;2;CAPELL61P.SAM;LIAISON 225kV N0 1 CAPELLE (LA)-PONT-SUR-SAMBRE;;;;;;
AERIEN;EGUZOL71MARMA;LIAISON 400kV N0 1 EGUZON - MARMAGNE;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;AVELIL61ZHEL5;LIAISON 225kV N0 1 AVELIN - HAUT-VINAGE - HELLEMMES;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CESTAL61PESSA;LIAISON 225kV N0 1 CESTAS - PESSAC;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;LESQUL62VERLH;LIAISON 225kV N0 2 LESQUIVE-VERLHAGUET;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;FEUILL62PONTE;LIAISON 225kV N0 2 FEUILLANE - PONTEAU;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;PATISL61REMIS;LIAISON 225kV N0 1 PATIS - REMISE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CIZE L61FLEYR;LIAISON 225kV N0 1 CIZE - FLEYRIAT;EN EXPLOITATION;225kV;RTE;2;CIZE L61FLEYR;LIAISON 225kV N0 1 CIZE - FLEYRIAT;;;;;;
AERIEN;BREVIL61MALGO;LIAISON 225kV N0 1 BREVIERES (LES)-MALGOVERT;EN EXPLOITATION;225kV;RTE;2;MALGOL31ZVICL;LIAISON 63kV N0 1 BREVIERES (LES)-MALGOVERT-VICLAIRE;;;;;;
AERIEN;CPNIEL61SINAR;LIAISON 225kV N0 1 CHAMPAGNIER-SINARD;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;GRAV5L71WARAN;LIAISON 400kV N0 1 GRAVELINES (CENTRALE) - WARANDE;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CROUZL61GODIN;LIAISON 225kV N0 1 CROUZET (LE) - GODIN;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;SSVICL61ZLACA;LIAISON 225kV N0 1 PELISSIER - REQUISTA - ST-VICTOR;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CONTAL61MALGO;LIAISON 225kV N0 1 CONTAMINE-MALGOVERT;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CERGYL63ZFRO6;LIAISON 225kV N0 3 CERGY - CORMEILLES - FROMAINVILLE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CERGYL63ZFRO6;LIAISON 225kV N0 3 CERGY - CORMEILLES - FROMAINVILLE;EN EXPLOITATION;225kV;RTE;2;CERGYL64ZFRO7;LIAISON 225kV N0 4 CERGY - CORMEILLES - FROMAINVILLE;;;;;;
AERIEN;ALBERL61VEN.P;LIAISON 225kV N0 1 ALBERTVILLE - VENTHON-POSTE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CHESNL72TABAR;LIAISON 400kV N0 2 CHESNOY (LE) - TABARDERIE;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;H.BORL61P.GAS;LIAISON 225kV N0 1 HTE BORNE - PLESSIS-GASSOT;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ARDOIL61MOTT5;LIAISON 225kV N0 1 ARDOISE (L )-MOTTE (LA) (V.-LES-AVIGNON);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
