Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
SOUTERRAIN;MTJAYL61ZMTJ5;LIAISON 225kV N0 1 ELANCOURT - VILLEJUST - MONTJAY;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MTGROL61MTPEZ;LIAISON 225kV N0 1 MONTGROS - MONTPEZAT;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CAIL5L61RABAT;LIAISON 225kV N0 1 CAILLOLS - RABATAU;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MTGROL61PRATC;LIAISON 225kV N0 1 MONTGROS - PRATCLAUX;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BONNEL62CUS.P;LIAISON 225kV N0 2 BONNETERRE-CUSSET-POSTE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;COMPSL61ZANCI;LIAISON 225kV N0 1 ANCIZES (Y631) - COMPS - VOLVIC;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MOUCHL61OULLI;LIAISON 225kV N0 1 MOUCHE (LA)-OULLINS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AMPERL63SEINE;LIAISON 225kV N0 3 AMPERE (SAINT-DENIS) - SEINE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MANDAL62TUNNE;LIAISON 225kV N0 2 MANDARINS-TUNNEL;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AMFARL62RATIE;LIAISON 225kV N0 2 AMFARD-RATIER;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;HARC7L61MOUL8;LIAISON 225kV N0 1 HARCOURT (POSTE BLINDE)-MOULINEAUX;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AVRONL62ZAVR5;LIAISON 225kV N0 2 PLAISANCE - VILLEVAUDE - AVRON;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BLERIL61SAUS5;LIAISON 225kV N0 1 BLERIOT (ROISSY) - SAUSSET;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CROIXL62ROU.N;;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AQUEDL61ZCOQU;LIAISON 225kV N0 1 AQUEDUCS (LES) - COQUIBUS - GRIGNY;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AVENIL61PRIME;LIAISON 225kV N0 1 AVENIR-PRIMEVERES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;HARC7L61JAVEL;LIAISON 225kV N0 1 HARCOURT (POSTE BLINDE)-JAVEL;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;PLAISL61ZAVRO;LIAISON 225kV N0 1 PLAISANCE - VILLEVAUDE - AVRON;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;PLUVIL61PRINQ;LIAISON 225kV N0 1 PLUVIGNER - PRINQUIAU;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;FEUILL61LAVER;LIAISON 225kV N0 1 FEUILLANE - LAVERA;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ARRIGL61CHARE;LIAISON 225kV N0 1 ARRIGHI-CHARENTON;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;COQU7L61LIMEU;LIAISON 225kV N0 1 COQUEREL - LIMEUX;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MORBRL61V.GEO;LIAISON 225kV N0 1 MORBRAS-VILLENEUVE-ST-GEORGES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;GARCHL61SSELO;LIAISON 225kV N0 1 GARCHIZY-ST-ELOI;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CONVEL61MOUL8;LIAISON 225kV N0 1 CONVENTION-MOULINEAUX;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AVELIL71WEPPE;LIAISON 400kV N0 1 AVELIN - WEPPES;EN EXPLOITATION;400kV;1;;;;;;;;
SOUTERRAIN;CABRIL62REALT;LIAISON 225kV N0 2 CABRIES-REALTOR;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BOLL5L61PRRLA;LIAISON 225kV N0 1 BOLLENE - PIERRELATTE (COGEMA A PIERRELATTE) (225kV);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;GRIM5L62TRANS;LIAISON 225kV N0 2 GRIMAUD - TRANS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;C.MERL61MOUGI;LIAISON 225kV N0 1 CAGNES-SUR-MER-MOUGINS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CAULAL61PYRAM;LIAISON 225kV N0 1 CAULAINCOURT-PYRAMIDES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;FOLIEL61TURGO;LIAISON 225kV N0 1 FOLIES-TURGOT;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BATIGL61CARDI;LIAISON 225kV N0 1 BATIGNOLLES-CARDINET;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CHEVIL62RUNGI;LIAISON 225kV N0 2 CHEVILLY-RUNGIS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MTVICL61SSMI5;LIAISON 225kV N0 1 MONTVICQ - ST-ELOI-LES-MINES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;PERTAL61ROYE;LIAISON 225kV N0 1 PERTAIN-ROYE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MALINL61SARR5;LIAISON 225kV N0 1 MALINTRAT - SARRE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;G.COUL63VAUPA;LIAISON 225kV N0 3 GRAND-COURONNE - VAUPALIERE (LA);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ENVALL61ISSOI;LIAISON 225kV N0 1 ENVAL-ISSOIRE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;FALLOL61TILLI;LIAISON 225kV N0 1 FALLOU-TILLIERS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;HALLEL61MAGEN;LIAISON 225kV N0 1 HALLES-MAGENTA;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MTAG5L61ZVILA;LIAISON 225kV N0 1 CHATEAURENARD - MONTAGNETTE (LA) - ROQUEROUSSE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;G.ILEL61MOLL5;LIAISON 225kV N0 1 GRANDE-ILE - MOLLETTES (LES);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;DONZAL61VERLH;LIAISON 225kV N0 1 DONZAC-VERLHAGUET;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;B.GUEL62PRINQ;LIAISON 225kV N0 2 BANC-DE-GUERANDE - PRINQUIAU;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MTEZIL71MTEZ5;LIAISON 400kV N0 1 MONTEZIC (CENTRALE) - MONTEZIC (POSTE EXTERIEUR);EN EXPLOITATION;400kV;1;;;;;;;;
