wind_mult;bat_mult;total_cost_B€;wind_GW;bat_GW;solar_GW
0.7;0.7;2.082653514734489;12.594658338734662;8.060612363902163;0.0
0.7;0.85;2.2061227865978856;12.594658338734664;8.060612363902163;0.0
0.7;1.0;2.329592058461282;12.594658338734662;8.060612363902163;0.0
0.7;1.15;2.449138655918044;14.660765426891965;5.9228125705701125;0.0
0.7;1.3;2.521533229175142;16.623956311418226;4.0158923793289;0.0
0.85;0.7;2.3987404671957058;11.932208440778028;9.312520330341439;0.0
0.85;0.85;2.5289364107490226;12.594658338734662;8.060612363902163;0.0
0.85;1.0;2.6524056826124185;12.594658338734662;8.060612363902164;0.0
0.85;1.15;2.7758749544758152;12.594658338734662;8.060612363902163;0.0
0.85;1.3;2.8993442263392124;12.594658338734664;8.060612363902164;0.0
1.0;0.7;2.704574841364313;11.932208440778028;9.312520330341444;0.0
1.0;0.85;2.846842630249363;12.010128409464407;9.154776156842404;0.0
1.0;1.0;2.9752193067635555;12.59465833873466;8.060612363902163;0.0
1.0;1.15;3.0986885786269527;12.594658338734664;8.060612363902164;0.0
1.0;1.3;3.222157850490349;12.594658338734662;8.060612363902163;0.0
1.15;0.7;2.9974210364423284;10.222532346546387;11.820140129139437;1.7067480058832711
1.15;0.85;3.1530547184415485;11.932208440778032;9.312520330341435;0.0
1.15;1.0;3.294903410794827;12.010128409464413;9.154776156842392;0.0
1.15;1.15;3.4215022027780884;12.59465833873466;8.060612363902166;0.0
1.15;1.3;3.544971474641486;12.594658338734666;8.060612363902164;0.0
1.3;0.7;3.259434711290645;10.222532346546384;11.820140129139439;1.7067480058832707
1.3;0.85;3.4404909424032954;10.22253234654639;11.820140129139428;1.706748005883263
1.3;1.0;3.601534595518784;11.932208440778023;9.312520330341446;0.0
1.3;1.15;3.742775390643971;12.31597219457507;8.35051200148753;0.31257707364288917
1.3;1.3;3.8677850987926226;12.594658338734662;8.060612363902163;0.0
