Région;Solar_MW;Wind_MW;Battery_MWh
Auvergne-Rhône-Alpes;0.0;0.0;-0.0
Bourgogne-Franche-Comté;0.0;7432.4731403868955;-0.0
Bretagne;0.0;0.0;-0.0
Centre-Val de Loire;0.0;0.0;-0.0
Grand Est;0.0;0.0;-0.0
Hauts-de-France;0.0;10551.692360173858;42408.00082788804
Normandie;0.0;0.0;-0.0
Nouvelle-Aquitaine;0.0;0.0;-0.0
Occitanie;0.0;16830.10040049806;-0.0
Pays de la Loire;0.0;0.0;-0.0
Provence-Alpes-Côte d'Azur;0.0;0.0;-0.0
Île-de-France;0.0;0.0;-0.0
