growth_pct;total_cost;solar_MW;wind_MW;battery_MWh;trans_new_MW
0.0;1061.360667657352;0.0;4411.368563650427;12047.924320733258;0.0
2.0;1507.8537393701474;0.0;6568.969306631228;15096.052914095904;0.0
4.0;1981.0304103526116;0.0;8332.912510407965;21824.228038588924;0.0
6.0;2454.873309664625;0.0;10107.254201954249;28508.90044999102;0.0
8.0;2975.2193067635553;0.0;12594.65833873466;32242.44945560865;0.0
10.0;3684.96787809834;0.0;16487.305927415488;33989.421071373465;0.0
12.0;4498.890108377044;652.7846334366319;21441.298317969515;30559.957103939836;0.0
14.000000000000002;5351.901996099194;3820.481784132329;23661.087643279516;38666.9541755012;0.0
16.0;6261.352116500108;7742.81866735771;26038.77074082794;45438.71554469;0.0
18.0;7199.768848144458;11542.827089981112;29104.111201160486;49145.974138566424;0.0
20.0;8139.642268161879;15258.306381970157;32357.586402729044;51929.881227557926;0.0
