Région;Solar_MW;Wind_MW;Battery_MWh
Auvergne-Rhône-Alpes;0.0;0.0;5681.999999999998
Bourgogne-Franche-Comté;0.0;0.0;0.0
Bretagne;0.0;0.0;8214.999999999995
Centre-Val de Loire;0.0;0.0;0.0
Grand Est;0.0;0.0;6403.999999999996
Hauts-de-France;0.0;0.0;18923.0
Normandie;0.0;0.0;0.0
Nouvelle-Aquitaine;0.0;0.0;0.0
Occitanie;0.0;0.0;37291.99999999999
Pays de la Loire;0.0;0.0;0.0
Provence-Alpes-Côte d'Azur;0.0;0.0;0.0
Île-de-France;0.0;0.0;0.0
